game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
1995,British Nationals,Marson Phil,Forsyth Iain,35,24,38,f5f4e3f6g4g3g6d6g5h5f7f3h4h3d3e6e7d7c3h6c4e8f2c5c8c6g8e1f1g1d2b4d1c1e2c2c7d8f8b7a8b6a6b5b8a7a4a5b3b2g2g7h2a2a3h1a1b1h7h8
1995,British Nationals,Leader Imre,de Grey Aubrey,35,24,29,f5d6c3d3c4b3c6b6d7e8c2d2c5b5b4c1a5a3a4a6e7e3d8c8e1d1b1f3c7e2b2a1e6b7a2f8b8f7f6g4g5h5f2f1f4g6g3h4h2g2h1g1h3a8a7h6h7h8g7g8
1995,British Nationals,Marson Phil,de Grey Aubrey,17,24,23,f5d6c3d3c4b3c6b6d7e8d8c8b5a6d2e3f2d1a4b4c1b1c2a2b2e1c5c7a5a1a3g3g1e2b8f3f8f1e6g6f4g5h5h1f7h7g4h6h3h2h8h4b7g8e7g2f6g7a7a8
1995,British Nationals,Hands Colin,Forsyth Eileen,49,24,44,f5d6c3d3c4f3c5e6f4e3e7g4f7c6f6d7g5e8c8b5b4d8a6a5a4b8h3a3a2c2g3h4h5h6f8c7a8b3d2d1c1g6e1h2e2b6b7f1a7b1g7g8f2b2h8g2h1g1h7a1
1995,British Nationals,Barrass Iain,Wormley Mark,45,24,29,f5d6c3d3c4f4e3f3g4e2d2g3g5b4f2h4f6h6c6c2b5f1d7e1a4d1b3e7h5g6f8a3a2e6g2c8d8c5h2c7f7e8b8
1995,British Nationals,Marson Phil,Handel Michael,27,24,26,f5d6c3d3c4f4e3f3e6b4g5f2e2g4b3e1d2c6g3b5c2d1c1a3g1b1c5f6f7b6d7c7a4a5c8e7d8f8e8b8a7a6a2h6h5b2f1h1a1h2g2g8g7h4h3h8b7a8h7g6
1995,British Nationals,de Grey Aubrey,Marson Phil,42,24,41,f5d6c3d3c4f4e6b3c2e3d2b4c5c6d7b6g3g4c7g6f2b5f3f1f6d1e1c1e2e7f7h3h6d8g5h5b2g8f8e8g2g7h8h7h2a1b1h1g1b7h4a5a3a6a4a7c8b8a8a2
1995,British Nationals,Selby Matthew,Brightwell Graham,32,24,36,f5d6c3d3c4f4e6b3c2b4e3e2d2f3e1c6d7g6c5d8e7f2a5f1g4g5d1c7f6h3h4h5f7g3a4b6g1b5a6e8c8b8g8b7g2f8a8a7h7h6h2h1g7c1b2a2a3h8a1b1
1995,British Nationals,de Grey Aubrey,Hands Colin,48,24,53,f5d6c3d3c4f4e6b4e3e2d2e7c5c6f3g5g6b3b5b6f6d1c2f2c1b1f1g3f7f8h5h4h3h7g4g2h6h2d7c8c7b8h1g7h8g8d8e8a8g1b7e1a1b2a2a3a4a5a6a7
1995,British Nationals,de Grey Aubrey,Kyte Bruce,54,24,51,f5d6c3d3c4f4e6b4e3f7c6g4b5f6c5e2d7c8e8d2c2b3a3c1e1a6a4b2f1c7f3g3e7d1a2a5a7f2b6f8g5d8a1g6b1b7g1g2h2h1h3h4a8b8h6h5g8g7h7h8
