game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
2021,Campeonato Argentino,Cohen Mercedes,Dottore Matias,49,24,60,f5f6c4c3d3c5e6f3e3f4d6c6d7e8e7d8g4e2d1h4d2c2b4a3c1f1a5g3b5g5h6a6a7b3h2g2g6g7h1f2h8f7h7b6g8h5h3g1e1b1f8c8c7b8b7a8a4b2a2a1
2021,Campeonato Argentino,Rondina Liliana,Olivares Diego,52,24,18,f5f4f3d6c3d3e3d2c6b6d1g3f6f2g1f1e1c4c5b4h3e6a7e2a4b5e7b3a3c2c1g6d7e8h6g4g5c7b8b7d8f7f8g2c8b2a8g7h2h4h5g8h1h7h8a1a2b1a5a6
2021,Campeonato Argentino,Chiesa Nicolas,Bilinkis Mariano,16,24,8,f5d6c4d3c5f4e3f3f6e6c6c3f2e2f1b4a3a5d2c2b3e1d1b5b6b1c1g1a6a4a2b2a1a7b7a8b8c8c7d8d7e7f8e8g6h7f7g7h5g5g4g3g2h2h1g8h8h6h4h3
2021,Campeonato Argentino,Roldan Matias,Thierer Sebastian,12,24,0,f5f6d3g5e6d6d7c6c7c5f4d8h6c8b5e3e8f8e7f7f3h4g6g4h5h7b8a8g7g8h3g3a5c4h8a4a3b7b6h2g2h1e2f2g1b4c3b3c2c1d2f1e1d1a7a6b2a2a1b1
2021,Campeonato Argentino,Chaufan Leonardo,Nakasone David,22,24,16,f5d6c5f4d3e3f6e6f3c4c3g5h6g6d7g4h3e7f8d8f7c6b5c8h4h5c7b6a6g3f2e2f1d2d1e1g2c1c2a5a4h1g1b4a3b3a2h2a7h7g7h8g8e8b2a1b1a8b8b7
2021,Campeonato Argentino,Perez Rafael,Garcia Leandro,42,24,33,f5d6c3d3c4f4c5b3c2b4e3e6c6g4g6f6d7b5e7f7b6c8d8f8e8c7g3d2c1f2h4g5f3e1f1d1h5h6a5a6e2h3b7b8a8a7a4a3g7g8h8h7h2g2a2b2g1h1b1a1
2021,Campeonato Argentino,Olivares Daniel,Lucioli Juan Pablo,14,24,28,f5d6c5f4e3c6d3f6e6d7g4g3e7c7c4f8g5f3g6b5d8h4b4e8g8f7a5b3c3e2d2a4a3b6e1f2f1c1d1g1h3h5a6b7a8c2h6g7h7h8b1a1g2c8b8h2b2h1a2a7
2021,Campeonato Argentino,Iturbide Paula,Furno Ricardo,38,24,48,f5d6c5b6c4c3b5e6c6d3e3f6b4f4d7d2c2c7e7c8d8a4a3e2a6b3a5e8f8g8f7g6d1e1f1b1g5f2h6g4g1h4h5h7f3g3h2b7a7g2c1h1h3b2h8a8b8g7a2a1
2021,Campeonato Argentino,Lisnovsky Marcelo,Seifert Max,40,24,48,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7g6e7d2h6f8d8f2c8f3c7h3g4h4h5h7b6a6b5a5e2f1b4a4e1d1c1c2g1e8g8g2b3a3h1h2h8g7b2b8a2a1b1a8b7a7
2021,Campeonato Argentino,Coll Pablo,Rondina Liliana,34,24,50,f5f4e3f6d3c3c4f3g4c6d6e6g5g3e7h3f7h6c5g6d7f8c7e8d2c1c2d8e1b1e2c8b3a3b4a4g7f2f1g2a5a6b2g8h8h7b5a1a2d1h1g1h2h4h5b6b8b7a7a8
