game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
1988,Championnat de France,Ralle Paul,Piau Didier,49,24,37,f5f6e6f4g6d6e3f3g4g5d3e2c5f7h5e7c6d7c3h3h4g3d2h6c8c4c2f2e1f1e8f8d8b5a5b6b3a4b4c7a3b8h7d1h2c1b2b1a1a2g1g7h8g8a8a6b7a7g2
1988,Championnat de France,Piau Didier,Decoeyere Eric,53,24,43,f5f6e6f4g5e7f7d6d8e8f8g4f3h5h4h3g3e2d7c8b8h2c7h6c6g7g6h7c3b6e3c4e1d3a5b3f2g2b4g1f1c5h1b5a4a3d2a6g8b7h8c2b1c1d1a2a1a7a8b2
1988,Championnat de France,Mascort Jean-Manuel,Decoeyere Eric,13,24,13,f5f6e6f4g5e7f7d6f3g4h5h6h7g6d7f8e3d3d8e2c7h3g3f2f1e8g8c5b5h2c6c4b3g1d1e1c2d2h1h4c1g7g2c8c3h8a3b4b2a2a1b1a6a5b8a7b6b7a8a4
1988,Championnat de France,Rouillon Denis,Lery Michele,48,24,61,f5f6e6f4g5e7f7c6e8h5e3d3f3g4g3d2h4g6h3e2f2d6h6g8h7f1d7c7d8g7c8g2e1g1b8d1h8b7f8h2a8b5c1a7a4c2c3b4c4a5h1a6b6c5a3b1b2b3a1a2
1988,Championnat de France,Rouillon Denis,Puget Jean-Francois,24,24,24,f5f6e6f4g5e7f7h5e8c5e3f3c3c4f2g4g3g6h3d2d3f8g8d7d6c7h7f1e2e1b6c6b3d8c8h6h4c2b1b5c1a3a4b7a8a5b2d1g2a1b4g1h2a7a6b8a2h1g7h8
1988,Championnat de France,Piau Didier,Bracchi Andre,38,24,33,f5f6e6f4g5e7f7h5e3d3g4g6f3h4g3c6e8d8c8d7c7d2h3e2h6d6b6g8f8b8c5c4b5b4f2f1c3c2b3b2e1g7a1g1b1g2h8h7a8a4a6a5a3a2a7b7c1d1h1h2
1988,Championnat de France,Tastet Marc,Thill Olivier,15,24,22,f5f6e6f4g5e7f7h5e3d3g4h4f3d6h3h2e8f2g6g3f1e2e1d7c7c6b6f8g8c8g7a6c5b5b4c4b3d2d1c2a5c3a7b8d8h8c1b2g2a4b1a1a3a2h1g1h6h7b7a8
1988,Championnat de France,Tastet Marc,Piau Didier,50,24,46,f5f6e6f4g5e7f7c5f3g3h3h5h4h6g4g6h7d7e3e2d1f2e1g1f1c1d2c3d3f8d6c6c4c2b3b5b4a2a3a4a5a6c7b6c8d8b2a1b1b8e8g7h8h2g8h1a8b7a7g2
1988,Championnat de France,Cali Elie,Piau Didier,8,24,26,f5f6e6f4g5e7f7c5f3g3h3h5g4g6h4h6h7d7d8f8c8d6e3c7c4d3e2c3b4d2b5b3c1d1e1c2a3b6b1a6b8c6a5f2a7g2h1h2b7a4g1h8e8a8g7f1g8b2a2a1
1988,Championnat de France,Delbarre Jean-Claud,Thill Olivier,18,24,29,f5f6e6f4g5e7e3g4d3c5g6f3f7h5d8e2d6d7e1c4c3f2b3c6c8c7b4b5h3g3f1f8d2c1c2h6a5b6b8g8a6a4a3b2h2d1g2b1a1a2g7h7h8h4e8a8h1g1b7a7
1988,Championnat de France,Ralle Paul,Piau Didier,27,24,40,f5f6e6f4g5e7e3g4d3c5g6f3h3c4f7f2d8h5c3d6e2d7h6g3h4d1c8e8c7f8f1e1c1d2c2b3h2b8c6b5b4b6a4a2a5a3a1a6a7b1g7h8g8h7a8h1g1g2b7b2
1988,Championnat de France,Delbarre Jean-Claud,Piau Didier,3,24,13,f5f6e6f4g5e7e3g4d3c5d6c4d8f7b4b5a5c7d7e8g6c8g8b6f3a3a4a6c6b3h5c3b7h3h4h6c2b2g7h8a7a8h7f8a2b8h2h1g3g2b1c1a1e2e1d1d2f1g1f2
1988,Championnat de France,Thill Olivier,Mascort Jean-Manuel,24,24,27,f5f6e6f4g5e7e3g3f3d6c4c3c6e2c7g6e8h6d1e1f1g4h3h5f2b4f7c5h2d7d2b5a3a4d3c2c1d8f8c8a6a5b6b3b8g7h8g8h7a8a2a1b2a7h4b1b7g2g1h1
1988,Championnat de France,Pelissier Laurent,Mascort Jean-Manuel,30,24,24,f5f6e6f4g5e7e3g3f3d6c4c3c5g4g6f2h4h3c7h6h2d2d3e2d1c1f1c2g1d7b3a3e8f8c8f7c6d8g8b6b4a4b5b7a5a6h5h1a8g2e1b8a7h8a2b2b1a1h7g7
1988,Championnat de France,Rouillon Denis,Le Saout Alain,32,24,31,f5f6e6f4g5g6g4e7f7h6h4c5e8f8g8d7h5h3d6c7c4c6b6c3b5h7b8a5a4a3b4a6b3d3c2c1d1e1d2e2e3a2b2g3f3f2g2a1b1f1h1b7g1g7h8h2a7a8c8d8
1988,Championnat de France,Pelissier Laurent,Lery Michele,50,24,35,f5f6e6f4g5g6g4e7f3d3d6h5e3h4c5c3g3d2f7e2c4h3f2c7e8d7d8c8e1b4c6d1b6f1h6b5a5f8c2b8a4a3a2c1h2a7g2g7b7a6a8g1h1b1b2g8h7h8b3a1
1988,Championnat de France,Thill Olivier,Commun Jean-Luc,54,24,52,f5f6e6f4g5g6g4h6f7e8h4c6f3e3g3d6h5f2h7h2d3d2f8g8e7d7c5b6c4b5c8c7b8g7a6c3d1e2h8e1d8c1h3a7a8b7a5a4h1b4a3b3g1f1g2c2a2b1a1b2
1988,Championnat de France,Tastet Marc,Vanoverveld Patrick,59,24,62,f5f6e6f4g5g6g4h6h5e7e3d6d3h3h4f2f3e2d2c4f1c2e1g3f7d1c1g2d8f8b3a2c3b2b1g7a4b4a5b5g1h8h7a1a6b6a3c5c6g8d7c8c7a7h1h2e8b7a8b8
1988,Championnat de France,Ralle Paul,Commun Jean-Luc,43,24,45,f5f6e6f4g5g6g4h6e3d3h5e2f3f2g3d7e7c6c5b6h7d6f1d8f7h2h3g1d1d2h1g2c1h4e8h8g7g8f8c2b3b2a3a4a5a2a1b4c7b1c3b8c8e1c4b5a8a6b7a7
1988,Championnat de France,Pelissier Laurent,Commun Jean-Luc,26,24,35,f5f6e6f4g5g6g4h6e3d3f3h3g3e2f2d2e1d1c1g1c4h2c2b5b4c3a6e7e8d7c6c8f7d8b8d6c7g8c5a4a3a2f1b1h5h4g7b3b2h7g2h1b6a1h8a5f8b7a8a7
1988,Championnat de France,Mascort Jean-Manuel,Garnier Jacques,64,24,64,f5f6e6f4g5d6e7e8d7d8c5c6c4c3c8b8c7g4f7h5b6g6b5a4g8a5h3h4h6h7h8g7f8g3h2h1b4g2f3e3a8b7a6a7a3b3e2f2g1b2a2a1b1d3c2c1
1988,Championnat de France,Rouillon Denis,Gruson Christophe,51,24,37,f5f6e6f4g5c6g3f7d7g6g4d6e7e8h6h3h4h5h2f3e2f2f1e3h7e1d1g2c8d2g8c7d3c2c1c4b6a5b8b5c5b4a7f8d8b7b1c3b2b3a3a4a8g7h8a2a6a1g1
1988,Championnat de France,Rouillon Denis,Emtir Farid,45,24,50,f5f6e6f4g5h4g6d6g4h5f3e3c5b5d3h6c4h3b6b4c6a6a5a4a3a2c7c8d7d8e7b3g3c3f7g8f8e8b7g7f2e1g1e2g2f1d1a8a7b8a1b2c2d2c1b1h8h7h2h1
1988,Championnat de France,Cali Elie,Thill Olivier,46,24,41,f5f6e6f4g3g4f3d3e3e2c4d2f2c3d6c5c6f7d1f1h4e1c1b1g5c7d7h3h2e8g6e7f8c2g2g8c8g7d8b8h8h1g1h5a8h7h6b7b6a5a7a6b5a4a1b4a3a2b3b2
1988,Championnat de France,Cali Elie,Ralle Paul,20,24,25,f5f6e6f4g3f3g5e7d6g6f7h4h6h3e3g4c5c4d3c7c6h5f8d2e2c3d1c2b5b4a3a4c1b3a5a6a7b6a2f1h2d7c8b7e1f2g1h7h8g2g7h1b8b1b2g8e8a1a8d8
1988,Championnat de France,Vargenau Marc-Etien,Garnier Jacques,40,24,59,f5f6e6f4f3d6g4d3c4e3f2c3e2f1g3c5g5e1d2h2h3h4d1c1g6g2h5h6c2b3h1g1b1b2h7g7e7f7c6b4a1b5a5a2a3a4e8b6a6b7h8d7d8f8g8c7c8a8a7b8
1988,Championnat de France,Vargenau Marc-Etien,Le Saout Alain,19,24,11,f5f6e6f4f3c5c4e7c6e3d3c3g6d6g5h6c7d7e8f8g8d8c8f7h5h4g4h3g3h7c2h2g7f2f1d2d1c1e1g1e2b1b2b5a6h8b6a1a2b4a4b8b7a5a7a3b3a8g2h1
1988,Championnat de France,Vargenau Marc-Etien,Emtir Farid,44,24,49,f5f6e6f4f3d3e3d6c6c4c5c3g4h3h5g3g5c7f7f8e7e8d8c8d7g6h4h6b6a6b4a5b3b5a3b2f2g1e2e1a4a2f1d1h1d2c1b7c2b1a1g7h7h8g8b8a7a8g2h2
1988,Championnat de France,Vargenau Marc-Etien,Vanoverveld Patrick,33,24,39,f5f6e6f4f3d3e3c5c6e7c3d6g5h5h6h4h3e2f1d2c1b3b6g4c4f2c2b5a3d7a6b4g3e1d1a4a5g6h7g2d8c7c8f8f7g8h1h2g1h8g7e8b8b7b1a1b2a2a7a8
1988,Championnat de France,Brisson Claude,Garnier Jacques,51,24,59,f5f6e6f4e3d6c5f3g4c3f2d3c4c6d2f1g3e2d1c2f7h3c1g6e7d8e8f8g5d7h4e1g1h5b1b2h7g2h1h2h6g7a1a2a3b3a4b4b5a6a5c8c7b6b7a8a7b8g8h8
1988,Championnat de France,Andriani Bintsa,Ralle Paul,27,24,22,f5f6e6f4e3d6c4f3g4e2f2c3c5d3c6b3d1b4b6b5d2c2a3c7a4e1f1c1b1g5c8a5a6h3h6h5d7e7g6f7d8g3g2e8f8b8a8a7b2h7h2h1b7g1h4a1g7a2h8g8
