game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
2002,Aarhus Open,Vallund Henrik,Larsen Caspar Pagh,32,24,36,f5d6c3d3c4f4e3f3e6c6c5g6g4d2c2f2g3h4e2f7g5e1d1b5e7h6h5f1d7b3a3b4c1f6h3f8a6c8b6h2c7a5a4b1e8d8g8h8h7g7h1g2g1b8a1b7b2a2a7a8
2002,Aarhus Open,Vallund Henrik,Maartensson Mikael,48,24,35,f5d6c3d3c4f4e3f3e6f6e7c5d7b4b3c7c6b5a5f8e8b6c8a4g4f7e2g5g3h4a3c2d2f1e1d8d1c1a6b8f2b7a8a7g8g1b2a1h3h2h6h5h1b1a2g7h8h7g6g2
2002,Aarhus Open,Vallund Torben,Vallund Henrik,14,24,27,f5d6c3d3c4f4c5b3c2b4c6d2d1e3a5e6a4f6d7d8f2b6g5g6f3e2c7b5e7e8f8g8f7c8a6g3e1g4h6h4h2h3h5b2b7f1g1c1b1a1a2h1g2a3g7h7a8a7b8h8
2002,Aarhus Open,Vallund Torben,Maartensson Mikael,38,24,40,f5d6c3d3c4f4c5b3c2e6b4d2e3f6d1f3a4a5a6a2e2b5c6c1b1f1d7c7c8b6f7f8g3e7g4h5h4g6g5h6e8h3g8d8g7h8h7b8f2g1g2e1h1h2a7b7a8b2a1a3
2002,Aarhus Open,Larsen Caspar Pagh,Vallund Torben,28,24,24,f5d6c3d3c4f4c5b4c6e6e2b5g4b3a3c2a4d2e3b6a7f3e1d1f1b2f2g6g5f6f7h4h3h6e7c7d8c8d7g3g2a6a5h1h2f8b8e8g8g1h5g7a1a2b1c1h8h7b7a8
2002,Aarhus Open,Aagaard-Hansen Jens,Schack Thomas,15,24,13,f5d6c3d3c4f4c5f6g5b4b5e6c2e3f3c6b6g6b3h5e7f7d7g4g3e8h4h3h7c8g8f8g7d2f2e2e1c1d1f1g2a5a6h8a3h6a4b1d8c7b7h2h1g1a1a8b8a7b2a2
2002,Aarhus Open,Skaarup Joergen,Vallund Henrik,17,24,15,f5d6c3d3c4f4f6f3e6e7d7c5e3e2b6b4d8g5h4g6c6e8g4c8f8g8f7h6f1d1f2c7a3d2h5h3g3h2c1e1c2h7g2h1g1b2b3b7b8a8a7a6a1b1g7h8a5a2b5a4
2002,Aarhus Open,Schack Thomas,Vallund Henrik,18,24,28,f5d6c3d3c4f4f6f3e6e7d7c5b6b4e8g5g4f7e3c6b3c8a4e2f2d2g3b5d1f8g8e1f1a5a6h4h3c2h5h6h7g6c1a3a2b2c7d8b8h2h1g7b1a1g2a7b7a8h8g1
2002,Aarhus Open,Maartensson Mikael,Lindholt Jonas,44,24,42,f5d6c3d3c4f4f6f3e6e7d7g6d8c5c6b5b4c7c8b6d2a3e3f8e8b8a5g5a6e2f1a4a2b3c2d1f7b7h6c1e1g1b2f2h5g4a8a7g8g7h7a1b1h8h1h4g3h2h3g2
2002,Aarhus Open,Schack Thomas,Maartensson Mikael,24,24,38,f5d6c3d3c4f4f6f3e6e7d7g6f8c5c6c7d2b6b5e3b4d8e8c8f7g8a6g5g4h5h3g3e2e1f1c1d1g1f2b3c2b1a3b2h6h4g2a5a4h1h2g7a7b7h8h7b8a2a1a8
2002,Aarhus Open,Badsted Palle,Skaarup Joergen,64,24,64,f5d6c3d3c4f4f6g5e6c5d7e3c6e7f8e8d8c8b8c7b6a6b5a5a4a3b4d2f7b7d1e2a8g8a7c1h8e1b3c2a2g7h5g6g4g3h7h6h4f3f2g2h1h2h3f1g1b2b1
