game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
2001,Australian National,Hubbard Paul,Vinar Matt,11,24,14,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2c8f3c7h3e2f1d1e1g1g4c1h6h4h5b5h2g6c2b1a6b3b4a3f8a5a4g2d8e8b8a7h1b7a1a2b2b6a8g7h7h8g8
2001,Australian National,Vinar Matt,Hubbard Paul,16,24,28,f5d6c4d3c3f4f6b5b4f3e6e7f7c5e3a3c7d7b6g6g5c2a6c6g3h5d8e8h6g4f8c8b8a5b7d2f2e2h4a8a7f1g2g7a4g8b3h1g1b2c1e1a2a1b1d1h7h2h3h8
2001,Australian National,Vinar Matt,Ortiz George,61,24,55,f5f6e6f4g5e7e3g6d6c4f7h5h6h7d7d8c6e8c5h4f3b6c8b8c7b4b5a6a3a4g8c3d3g4g3f8a8b7h3h2a7c2d2f2e2d1f1c1a5e1b1b2g1g2h1h8a2a1b3g7
2001,Australian National,Girardo Robert,Vinar Matt,8,24,13,f5d6c4d3c5f4e3f3d7c3d2g6b3b4b5d1e2c2c1e1g4g5f6h4h5h6h3h2g3f2f1e7f8e6f7a4a5c7c6a3c8b7a2a6a8a1b6a7g2b8b2h1h7g1h8b1g7e8d8g8
2001,Australian National,Vinar Matt,Cairns Fleur,52,24,46,f5f6e6f4g5c6g6h7g4h6h4e7f3e3d6f2d8d7h5h3g3f8c8f7c7c5e8b8d2d3c4h2g7c3e2d1c1b1b3a3e1f1c2b4b2g8h8a2a8b7a7a6g2b5h1g1a1b6a5a4
2001,Australian National,Ortiz George,Hubbard Paul,36,24,35,f5d6c3d3c4f4f6b5e3f3g4c2c6d7b3a4c1d2e6f2g3e2f1g5c5b4g6h4h5h3h2f7a3h7e1a2b6a6a5b2a1b1d1g2a7b7a8c7b8d8c8e7e8f8g8h6h8g7h1g1
2001,Australian National,Hubbard Paul,Sheean Helen,42,24,28,f5d6c3d3c4f3c5e6f4e3f6c6f7b3e2b4d7e7e8g8g6c8f2h6g5h5c7c2b5f1a4b8h4g4h7e1a3d2h3b6g3a6a5g2h2a2d1c1b2d8f8a1b1g7h8a8h1g1a7b7
2001,Australian National,Cairns Phil,Hubbard Paul,14,24,23,f5d6c3d3c4f4f6f3g4g5e3h3g3f2h6h4c6e2d2c5d7c1e1b4b3b5e6f1g1c2g6c7a6h5h2a5c8b6a4a3a2e7f8e8a7d8f7d1b1b7b2g2b8a8a1h1h7g8g7h8
2001,Australian National,Ortiz George,Cairns Phil,46,24,39,f5d6c3d3c4f4c5b4e3e6b6c6f3a6e7f7d7f6b3c8d8f8e8c7a4c2d2d1b5a5a3e2a7g6f2g5g4h5f1e1g3h3g2a2a1h1b2b7h6b1c1g7h8g8h7g1h2h4a8b8
2001,Australian National,Lyell Alex,Ortiz George,20,24,24,f5f6e6f4g5e7d3e3f7c4b3d6c6c3e8b4b5d7c7a4c5a3g3a6a5b6f3c8e2d8d2f8c2c1b7g8g7h8h7d1g6e1f2h3h4f1h2h6g4h5a7h1g1g2b1a1a2b8b2a8
2001,Australian National,Girardo Robert,Sheean Helen,25,24,28,f5d6c5f4e3c4c3c6c7b5a6a5a4b4d3b3a3b6g3d7e7d2c1d1e1c2e6f3f2e2f1g4h3h4h5c8d8g6b8f6h6f7e8f8g8b2g5g7b1a1a2a7h8g2h1g1b7h2a8h7
2001,Australian National,Cairns Fleur,Cairns Phil,1,24,0,f5d6c6f4f3c5b5b4d3c7b6c4d8c8b8a5a3a6b3c3c2d7a4a2b7e7e8e6f6a7b2a8f7g8f8h8g7g6h7h6e2e3g5e1d2g4h4h5h3d1g3b1a1h2h1c1f1
2001,British Nationals,Brightwell Graham,de Grey Aubrey,56,24,42,f5d6c3d3c4b3c6b6d7e8c2d2c5b5e7e6b4a3e3c1d8c8f7f6a6f8a4f2f3g5e1b2f1a5h5g4g3h3f4g2e2h4h1a7a1d1b1a2a8h2g1h6b7c7h7g6g7h8g8b8
2001,British Nationals,Brightwell Graham,Arnold Roy,52,24,53,f5d6c3d3c4f4c5b3e2d2e3f1f3g3c6g5c2d1c1e6b5a5b6c7a6b4e1a7g1b2c8b7d7e7a8a4f2g2d8e8b8a3b1h1h2a2g4f8f7g7g8h8h7h4h3a1h5f6g6h6
2001,British Nationals,Brightwell Graham,Barrass Iain,45,24,43,f5d6c3d3c4f4c5b3e2b4e3e6c6g4g6c7b6f3b5a6c2c1a3d2d1a5f7d7a4f1b1f6a7f8f2b7g3e1g1h3a8h6g2a2d8e8e7h1a1b2g8b8c8h7g5h5h4h2h8g7
2001,British Nationals,Brightwell Graham,Leader Imre,21,24,25,f5d6c3d3c4f4c5b4b5c6f3a5e3c2a4b3a6b6d2a3a2e1d7c7c8f2e2g3f1g4d1g6h3f6a7c1b1h2e6g5h1d8e8g1g2e7h4a1b2f7h7f8g8a8g7h8h6b8b7h5
2001,British Nationals,Turner Ian,Leader Imre,21,24,30,f5d6c3d3c4f4f6f3e6e7d7g6g5f7f8h6d2d8e3e2f1c8g4c7f2h3g7c5e8g3b6c1e1c2b8c6b3b4a5a6g8h8b7a3h7d1h4h5b1a4b2a1a2b5g2g1h2h1a7a8
2001,British Nationals,Handel Michael,Brightwell Graham,26,24,33,f5d6c3d3c4f4f6f3e6e7d7g6f8c5b4f7h6c8e8c6e2b5e3f2d8c7b8a3g5e1b6h5a5d2c2a7a4a6b3h7g3h4g4g7c1d1b2a1f1g2h3h2g1b7a8a2b1h1g8h8
2001,British Nationals,Brightwell Graham,Turner Ian,42,24,38,f5d6c3d3c4f4f6g5e3f3g4h3g3f2h6h4c6e2d7h5h2c5d2f7g6b4e7b3e6g7f1e1e8g8b5g1a4c8c1c7b6a5a6f8d8c2b1d1h1g2a3b8b2a1a2a7a8b7h8h7
2001,British Nationals,Brightwell Graham,Hubbard Geoff,44,24,42,f5d6c3d3c4f4f6g5e6c5f3e3g4f7e7g6h5e8f2b4f8g8h6c2c7g3h4h3h2f1d7g7e2c6d8c8g2h1g1d1d2e1h8h7b8b7a8b6a5a7a6b5a4b3a3a2b1c1a1b2
