game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
1997,California Cup,Parsons David,Calendar Hugo,36,24,41,f5d6c3d3c4f4f6f3e6b4c6b3e3d2e2f2e1d1c5b6c1d7b5c7c2a5a3e7f7g4g6g5a4a2d8c8e8g8b8h6f1b2g3h3a1b1a6g2h1g1h2h4h5h7g7a7h8f8a8b7
1997,California Cup,Parsons David,Mine Tatsuya,16,24,27,f5d6c3d3c4f4f6g5e6c5f3e3g4f7g6g3e7h4c7b4e2f2c2f1a4a3a5a6b6d2d1e1c1b1c6b5b2a7b3b7h2c8f8h5h3h1h6g7h8h7g1g2a1g8b8d8d7e8a8a2
1997,California Cup,Mine Tatsuya,Calendar Hugo,49,24,36,f5d6c4d3c3f4f6f3e6e7d7c5c6g6g5f7e8g4d2c8c7b8h6h5f8b6b5a5e3h4h3f2e2g3b4g2g1f1h1h2a4a3a6c1b3c2d8g8a2a7a8b7d1b1e1b2a1h7h8g7
1997,California Cup,Mine Tatsuya,Parsons David,29,24,34,f5d6c4d3c3f4f6f3e6e7d7g6g5f7e8c5c6h6d2c8c7b6b5e3b4a4h4d8f8h5b8h3g4g3a6e2a5a3b3c1a2c2b2b7e1d1b1f2g1f1g2a1a8h1h7a7h2h8g8g7
1997,California Cup,Parsons David,Mine Tatsuya,34,24,39,f5d6c4d3c3f4f6g5e6d7f7e7g3f3e3c5g4e2g6d2c2b5d1c1c6c7e8f1b1h4h5h6d8c8b8g8b6a6b7f2a4a5h3a3h7g7b4b3h8f8b2g2g1h2h1a8e1a7a2a1
1997,California Cup,Calendar Hugo,Mine Atsuko,27,24,27,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3d1f6c7a5a4a3e7f7f2e2e1f1d7c1b4b1g6c3f8a6b3g5b2b7h4e8c8d8b8h3h5g2h1a8g1h6h2a1a2a7g7g8h7h8
1997,California Cup,Calendar Hugo,Mine Tatsuya,16,24,26,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3d1e7f6g6g5h3h4e2h2h6f1a5d7b4b3c3c7a3f7c8a6d8e8f8f2c1a4e1b1a7b8a8b2b7h5a1a2h1h7g1g7g2g8h8
1997,California Cup,Calendar Hugo,Mine Tatsuya,21,24,25,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3c7a5f2d7c3f6d8b4e7c8a6e8a3a4b3c1e1f8f7d1e2g8h3g5b7b2h5a2g6a8a1b1b8a7h8g7h6g2f1h1g1h7h4h2
1997,California Cup,Calendar Hugo,Parsons David,54,24,34,f5d6c4d3c5f4e3f3c2c6e6d2c7e7f7f6g5b3c3g4e1b4d8e8g6f8d7e2b5a6a5a3f1a4f2h4g8c8b8c1d1h7b1b7a8b6a7g1h1b2a2g7h3h2a1h5h6g3h8g2
1997,California Cup,Mine Tatsuya,Parsons David,20,24,25,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2e2f1c8f3c7h3b6g4c1g6e1a6h6h5b5b3c2b4h7g8e8h8g7f8a3d8b8a8a7d1g1b7a4a5h2h1g2b1h4b2a2a1
