game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
1996,Australian National,Ortiz George,Hubbard Paul,48,24,40,f5f6e6f4g5h6f7c6g3g4h4d6h3e7d8h5h7g6d7f8f3e3d2e2d1e1f1c2c1f2e8c8d3g8g1g2b1h2h1c4c3b3a3b2a2a1b4a4c5b5a6b6a5a7c7b7a8b8h8g7
1996,Australian National,Jones Simon,Jones Gabrielle,50,24,54,f5f6e6f4g3g4f3c5d6e2f2c6c3e3d2f1h5d3d1h3c4b5g5g6b4a3c2b3e1c1a6b6a4a5a2b2a1b1a7b7g1g2h4h6h1h2h7g7h8e7d8f7e8g8f8b8a8c8c7d7
1996,Australian National,Jones Gabrielle,Ortiz George,0,24,0,f5d6c5f4f3e3c4d3e6f6e7g4g3g5h3h4h5h6h7g6f7c6f2e2d1e1b6c1c2d2c3g2g1h1f1h2b1a1h8g7f8g8e8d8b2b3a3a2c8a4a5b4a6
1996,Australian National,Hubbard Geoff,Ortiz George,11,24,35,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2e7f2c8f3c7d8e2f1e8g3b6b5a5h4b4h6h5g6c2g8e1b3a4d1c1b1h3a6f8b8b2g7h7a1a7g2h2g1b7a8a2a3h8h1
1996,Australian National,Kopec Sebastian,Hubbard Geoff,10,24,17,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2e7f2e2f8e8d8c8b8c7b6a6b5a5b4a4f1d1g3f3h3g6a3h4g8c2a7e1g2b3a2b2a1h2b1b7c1g7h8h7h6h5h1g1a8
1996,Australian National,Jones Simon,Ortiz George,31,24,36,f5d6c5f4e3c6d3f6e6d7g4c4g5c3b4e2f3d2d1e1c1c2f1g6b5b3c7h5b1a6a5a4b6a7f7e7c8e8d8b8g8h4a2f2g3h3h6g7f8h8h7g2b2a1a3g1a8b7h1h2
1996,Australian National,Hubbard Paul,Hubbard Geoff,28,24,23,f5d6c5f4e3c6d3f6e6d7g3c4g5c3f7d2e7f2c8f3c7h3e2f1e1d1c1g4g1h6h4h5g6h7b6f8g2e8d8b8b3a5a7a6a4b4b5c2b2a3g8h8g7h2a2h1b7a8a1b1
1996,Australian National,Hubbard Geoff,Ortiz George,27,24,25,f5d6c5f4e3c6d3f6e6d7g3c4b4b3b6a3g5c3f7d2e7f2c8f3c7h3e2f1a4a5d1b5c2g4e1h6a6g6a2c1g2d8h2e8h4h5h7g7h8b1g8f8b2a1a7b7a8b8h1g1
1996,Australian National,Kopec Sebastian,Jones Simon,0,24,0,f5d6c5f4d3c4e3c3e6b4b5c6f3a5a4a3c2d2a6a7b3a2e2c1c7b6b1a1b2f6d7d1g6c8b7d8e8a8b8f8e7e1g7g8f2h8h6
1996,Australian National,Hubbard Geoff,Jones Simon,39,24,35,f5d6c4d3c3f4f6g5g6e3e6c5h5b4e2f3d2f2g4g3f1h4c2b3d7h6a5a4b6a6b5d1b1c1e1b7h2h3h7c6c7e8d8f7f8c8a8e7g7a7b8g1h1g2a3a2b2a1h8g8
1996,Australian National,Hubbard Geoff,Ortiz George,16,24,25,f5d6c4d3c3f4f6f3e6e7f7c5b6g6e3e2h5f8g5c6g4g3d2h6f1h4e8d7c8b5f2d8g8h3a6a4b4c7g7a3b8g2h7h8h1a8b7b2h2c2a1g1c1b3a2a5a7d1e1b1
1996,Australian National,Ortiz George,Hubbard Geoff,32,24,40,f5d6c3d3c4f4e6b3e2e3f3f6e7c5d7g6g4f8c6f7e8g5g3e1b5h4h6h5h3a5b4f2d2c2a3g7h8h7g8b6a4a2a6a7g2c7b7g1b2a1h1h2d8a8c1d1f1c8b8b1
1996,California Open,Stevahn Robert,Kierulf Anders,23,24,23,f5f6e6f4g6c5g4g5f3h4e3d7d6d3c6f7h3h5d8e7c7c4c2g3h6d2f8e2e1d1c1f2f1e8h2g8h8h7g7h1b3g1g2c3b6b5a5b1b2a6a4a1b4b7c8b8a8a7a2a3
1996,California Open,Kierulf Anders,Roberts Bill,44,24,54,f5f6e6f4g5e7f7c5e8h5g4h4e3d6f3d7h6h7g6d8c8d3c6b6c7g8b7c4f8a8h8g7g3d2h3f2b8g2a7a6h2b3b5b4c3h1e2g1f1e1c2d1c1b1a5a4a3a2a1b2
1996,California Open,Springer Colin,Roberts Bill,31,24,32,f5f6e6f4g5e7e3g3f3g4d3f2g6e2d2c5c4b4f7h5h6h4h3c1e1f8f1d1b1c2b3h2h1g1g2a1c3a2d7d6d8e8g8g7b5b2c6a6h8b6a5h7c7a4a3c8b7a8a7b8
1996,California Open,Mine Tatsuya,Calendar Hugo,27,24,21,f5f6e6f4e3c5g5g3g4f3g6d3f2h4e2d2c1e1c2c3c6d1b5b3f1d6e7b6b1c4b4a5h5g2h1g1b2a1a2a3h2h3a7e8f8g8f7d8d7c8h6g7h8h7b8c7b7a8a6a4
1996,California Open,Mine Atsuko,Kierulf Anders,35,24,24,f5f6e6f4e3c5g5f3g6d7d3g4c4h5b6e2f7f8f1d6f2c6c7b5e8d8a6c8e7g8b4d1d2c1c2b1g7c3b2h6h8h7b8a1b3e1g3h3h4g1h2a3b7a8a7a5a4a2g2h1
1996,California Open,Mine Tatsuya,Kierulf Anders,26,24,29,f5f6e6f4e3c5g5f3g4g6g3d6f7h5e7d7c8e8c7d3h4f8d8g7c6c4b5b4b6c3a3a5d2c2a4a2b3e1h8g8h7h6f2a6d1e2f1g1h1h2h3g2b7a7a8b8a1b1b2c1
1996,California Open,Kierulf Anders,Streimikes Robert,49,24,45,f5f6e6f4e3c5c4e7g5g4f7c3b6c6b5f3b4b3d3d2e2a6d6d7g6g3f2h4h6h5c1f8c2a5a4a3h3f1c8e1d8g7h2b2d1b1a1a2a7g2c7b7g1e8g8h1b8a8h7h8
1996,California Open,Calendar Hugo,Kierulf Anders,18,24,14,f5f6e6f4e3c5c4e7b5e2f3f2g5g4g6d6h3h5g3c6d3h6f7f8d7c8d1e1f1c7e8d8g7h4h7h8g8h2g2a5a4h1b6a3b7b4c3a8b8a7a6g1b3d2b2c1a1a2c2b1
1996,California Open,Calendar Hugo,Streimikes Robert,33,24,42,f5f6e6f4c3e7f3e3d3c5g4g3g5h4h3h2h6g6c6c7h7d2e2c4f7f8d6b4d8c2d1f1e1g2f2g1g8e8d7c1a4b5a6h8h5c8b3g7h1b2b6a3b7a5a1b1b8a7a2a8
1996,California Open,Mine Tatsuya,Calendar Hugo,31,24,38,f5f6e6f4c3d7f3d6g5e3g4f2g6h3g3c6c5b4d2h2f1e2h4h5h6h7e7c4b5c1f7e1c8a5b6a6b3d3c7f8e8a2g2d8a4a3g8b2b8b7a8a7a1c2b1d1g7h8g1h1
1996,California Open,Calendar Hugo,Stevahn Robert,52,24,43,f5d6c5f4e3c6d7b5e6f3d3c4c3c7b4f2f6d8e7b6a5d2c2g6e1a3b3a2e2f1a4a6g4c1g5d1f7h3h4h6h2g3b2g8f8e8b8b7a8a7c8h5h7b1a1g7h8g2g1h1
1996,California Open,Roberts Bill,Calendar Hugo,20,24,29,f5d6c5f4e3c6e6f7d7f3c4g6c7e2g5f6e7g4h5h6h7c8d8e8d3b8g8b7b6c2h4g3d2h3h2a5a6a7e1b5f2b3b4c3b1g1f1d1a4a3b2g2a2a1f8h8h1c1a8g7
1996,California Open,Calendar Hugo,Mine Tatsuya,33,24,28,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3c7a5f2d7c3f6e2b4d8e8c8f7e7f8g5b3g8h4h5d1h3e1b7g6a4a6a7a3a2f1g2h6c1b8a8g7g1b2h7h8b1a1h1h2
1996,California Open,Calendar Hugo,Springer Colin,26,24,22,f5d6c4d3c5b4d7e7c7d8c3e3e2c2c6b5b6e6f6f7c8e8d2b8a3a4a5g4f4a6a7b3h4d1b1f1c1f2f3g3g5a1e1g6h7h2h3h6h1h5g1g2g7f8b7a8a2b2g8h8
1996,California Open,Streimikes Robert,Springer Colin,8,24,25,f5d6c4d3c5b4c3d2d7e3b5c6b6a5a3b3c2e2f3f2a6a7d1e1a2c1b2g3h3f4f1g4g5c7c8g6e7h6e6b7f6h4h5h2g2g1a4a1b8a8h7h8b1g7f7d8e8f8g8
1996,California Open,Springer Colin,Calendar Hugo,39,24,45,f5d6c3d3c4f4c5b4b3e6c6b5e3f2d7f6a6e7b6a5f7c8e2d8e8c7a4f8a7e1f1d2d1c1b1b2c2a2a1a3b7a8b8g2h2g1f3h1g4h3h5g3g5h4h6g6g7h7g8h8
1996,California Open,Kierulf Anders,Springer Colin,28,24,27,f5d6c3d3c4f4c5b3d2c6b6b4b5e6c2a5a6a4a2a7f7e3e2f3g5g4f2f6e7g3h5h4c7h6d7g6g7c1d1h8b1g8f8e8d8c8b2a3a8a1h7e1f1g1h2h3g2h1b8b7
1996,California Open,Springer Colin,Mine Atsuko,43,24,40,f5d6c3d3c4f4c5b3c2e6c6b4b5d2f7c7f3a6a5a4d7b6a3a2e3d1b8c8d8g4g3g8e7e8f6g6h4e2f2f1g5h5h3g2h6g7h8a8h7f8h2a7b7b1b2a1c1h1g1e1
1996,California Open,Springer Colin,Mine Tatsuya,26,24,27,f5d6c3d3c4f4c5b3c2e6c6b4b5d2e3a6c7f3g4c1a3a5f6b6a4a2f2d8b8g3e2f1d1g1b1g2h3e1h1h2b2c8e8d7e7h5g5h6g6h7g7f8g8f7h8h4b7a1a7a8
1996,California Open,Kierulf Anders,Springer Colin,13,24,25,f5d6c3d3c4f4c5b3c2e6b4f3e3e2g4d2f6g3h3g5h6g6c1d1f1b1a3b6b5a5a4c6c7d7e8a6h7d8f7f8e7a2b8c8g8f2e1g1g2h1a7a8b7h5h2h4b2a1h8g7
1996,California Open,Springer Colin,Stevahn Robert,34,24,25,f5d6c3d3c4f4c5b3c2e3d2e6b4f6f2e2f1b6f3a4a3a2a7c6a5b5g4h4e7b2g3h3a1a6g5h6b7d1e1g1c7f7g6h5f8d7e8b8c8a8g2b1c1d8h1g8h2h7g7h8
1996,California Open,Springer Colin,Kierulf Anders,44,24,39,f5d6c3d3c4f4c5b3c2e3d2c6b4b5f2e6f3c1a3a4a5d1e2f6e1b2c7g6a1b1g5h5a2g3g4d7h4b8d8a6c8e8b6h3g2b7a7h1h2e7a8g1f1f7g7f8g8h8h7h6
