game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
1992,British Nationals,Wormley Mark,Lysons John,22,24,33,f5f6e6f4g5e7f7c5d7h5h4h3f3g4e3f2e2g6h7d8c3c7d6c6g3h6h2c4b4d3b5e1d2b6d1e8c8b8a6c1c2b1g1b3a3b2g8g7b7a8a7a5a2a1a4f1g2h1f8h8
1992,British Nationals,Wormley Mark,Forsyth Eileen,46,24,57,f5d6c5f6e6b6d3e3c4f4g5h4f2c3f7d2g4e7e2f8h5h3h2h6h7e1f3f1g6c6d8e8g8g7a6g3h8c7d7a5a4c8c2c1b3b4b2a3b5b7a1a7d1b1a2g2h1g1a8b8
1992,British Nationals,Wormley Mark,Selby Matthew,39,24,25,f5d6c5f4e3c6d3f6e6d7g4g3g5h3h4b4b5c4b6c3f7a5e7d2c2c1d1e1c8e8c7f8f2h5h6h7g6a6b3h2f3e2d8b8a3a4a7g8f1b2a1a2b1a8b7g7h8g2h1g1
1992,British Nationals,Wormley Mark,Brightwell Graham,27,24,25,f5d6c3d3c4f4c5b4b5c6b3e6c7b6f7e7f6a5e8e3d7c8d2a4a3e2a6d8f1c2f2f3c1f8g5g3g4b2g6h6h7h8b7h3g8g7h5h4a1a8g2a2a7b8h1h2b1d1e1g1
1992,British Nationals,Wormley Mark,Brewer Phil,16,24,24,f5d6c3d3c4f4d2e3d7g5g6f6e2c7h5h6h7c5b6f3e7b4b5f2h4b3g4c6e6g3c2f1d1c1b1d8e8f8a3a4a5g2h3e1h1a1c8b2a2g1g8h2f7h8g7a6b7b8a8a7
1992,British Nationals,Turner Ian,Barrass Iain,27,24,33,f5f6e6f4e3d3f3c5c6e7c4c3g4e2d6g5g3f2d2c1c2h5f7f8e8d8f1e1d1g1h4b1h6b5b6b3g6b4c7c8a4d7a5h2b7a8b8a6b2a1h3h7g2h1g8h8g7a2a3a7
1992,British Nationals,Turner Ian,Feinstein Joel,25,24,25,f5d6c5f4e3c6d3f6e6d7g3c4e7c3g4f8f7g6e8d8c8b8c7b6h6d2c1e1c2g8e2g5b3f3b4b5f2h4f1d1h2a3a7a6a5h3h5g2a4a8b2g7h7h8b7b1a1a2g1h1
1992,British Nationals,Turner Ian,Brightwell Graham,24,24,24,f5d6c5f4e3c6d3f6e6d7g3c4e7c3g4f8f7g6c8d8e8b8g5h5h4d2c1e2b5g8h6b4c7a5b6a6a3a4c2a2b7b3f2g7b2a1b1d1h8a8a7f3f1e1g2h1h3h2g1h7
1992,British Nationals,Turner Ian,Wormley Mark,39,24,48,f5d6c5f4e3c6d3f6e6f3c4e7g4b5e2b3b4c3d2c2a3d1e1f1f2g1a6g5b1h3h4g2g3h2b6a4a5h5c7b7d7b8a8a7c8d8e8b2g6g7f7c1h1f8h6h7a1a2h8g8
1992,British Nationals,Turner Ian,Stephenson David,26,24,25,f5d6c4d3e6f4e3f3c3c5d2c6d7b3e2b4b6g6b5f6c2f2a5a4g5e7c7d8g4c1f1a6a3a2b7h5f7h3h4h6g3e1g7h8h7g8f8g1d1g2h1h2b1a8a7e8a1b2c8b8
1992,British Nationals,Turner Ian,Marson Phil,38,24,38,f5d6c4d3e6f4e3f3c3c5d2c6b5b6g4a4d7c2b3a3b4d1a5a6c7c8f2g6e1e2c1d8e7f8f6f7b7g1g3h5g5h6h4g7e8a7h8g8h7f1h1g2h2h3a8b8a2b1a1b2
1992,British Nationals,Turner Alison,Brewer Phil,19,24,15,f5d6c5f4e3c6g4c4f6d3c2e2c7f2b6f3d2c3b5e6d7g3g5c1e1h4h5d1h3f1b4b3a3g6h6e7f8f7e8b2b1a1a2a4g2g1a5h1h2a6b7a7g7a8b8c8d8g8h8h7
1992,British Nationals,Turner Alison,Wormley Mark,15,24,7,f5d6c5f4d3c4e3c3b5e2c2d2f6e6g4b6f7e7c7c6d8c8d7b3a6b4b8a5d1f8a2g6g5a3h6a1f3g8b2a7b7c1b1a4g7h5h4a8e8h8h7h3g3h2g2e1f1g1f2h1
1992,British Nationals,Stephenson Ken,Turner Ian,46,24,39,f5d6c5f4e3c6e6f7d7e8c8c7e7f6g8b4b5b6a3g6a4c3c4a5c2b3g4g5b8h3a6d8f8c1d2d3f3e1e2b7a2f1h4h6h5f2b2g7a7a1a8g3b1d1h2g2h1g1h7h8
1992,British Nationals,Stephenson Ken,Feinstein Joel,14,24,18,f5d6c5f4e3c6e6f7d7e8c8f6e7b5c4f8a6d8g8a5g6g4g5f3h3g3e2h5h4h2d3a7b4c7a4a3b6b7a8b3a2b8c3h8g2h1f2g1d2h6f1e1d1c1c2b2h7g7b1a1
1992,British Nationals,Stephenson Ken,Bhagat Peter,16,24,20,f5d6c5f4e3c6e6f7d7f6e7c8d8f3g6e8f8g8d3g4g5h4h6e2d2g3f1h5h3c7h7b5a5b4b7c4b6c3c2b3a3b2b8a8a7a6a1a4g7f2e1a2h8b1c1d1g2h2h1g1
1992,British Nationals,Stephenson Ken,Selby Matthew,60,24,63,f5d6c5f4e3c6e6d3c4f3d7e7f6g5g6f7f8c8d8e8b8c7b5b3c3b4b6a5a3h6g8a6a4a2g4d2h4g3h3h5h7b7a8g7h8a7a1b2h2g2c2b1c1d1e1e2g1h1f1f2
1992,British Nationals,Stephenson David,Lysons John,54,24,38,f5f6e6f4e3c5c4e7g4g3g6h3e8d7g5d6f7f8g8h4f3d2e2e1d3f2c3c6h5b5c1d1c2h6a6a5b6a7f1b3d8g2a4g1a8c7h1g7h8a3b4b2b8b7h7b1a2a1h2c8
1992,British Nationals,Stephenson David,Marson Phil,44,24,32,f5d6c5f4e3c6d3f6g4c4b4b3b5c3b6d2g6f2c2a6a3c1f3e2f7g3e6h4e7c7d7g5h5e8c8h6f8d8e1a5a4b7h3b8f1g7h8h7g8d1a8g1a7g2h1h2b1b2a2a1
1992,British Nationals,Shaman David,Feinstein Joel,31,24,29,f5f6e6f4g6c5g4g5f3e3h5f2e2f7d7d6e7d8e8h3g3f8c3h7c8h2g8c4d3c6b3b4f1c7a4d2c1c2b1a5a6a3b8d1h4h6e1a7b5b6b7g2h1g1h8a8g7b2a1a2
1992,British Nationals,Shaman David,Leader Imre,32,24,36,f5d6c5f4e3c6d3f6e6d7g4g3g6f3g5h6f7f8e7h4c4c7b6h5e8d8c8e2f1c2d2c1d1e1b1b8f2a6b5a5g7b3c3b4h7b2a1h8a2b7a3a4h3g8a7a8h2g2g1h1
1992,British Nationals,Shaman David,Brewer Phil,53,24,57,f5d6c3d3c4f4f6f3e6c6c5b3e3b5d7d2e2f1c7e7b4g4b6f7c2c8e8c1f8a3a4a5g8d8b8g7g5g6a6a7f2g1h8h7h6h4h5h3g3g2h2e1d1h1b1b2a1a2a8b7
1992,British Nationals,Shaman David,Bhagat Peter,49,24,49,f5d6c3d3c4b3d2e1d1c1b4a5a3f4e6c2f6a4a6b5c6b6c7g6c5c8e2f7e3f1e7f8d7f2e8b7a8d8f3a7b8g4g5h6h5h4g3g2h1g1g8b2b1g7h2h3h7h8a1a2
1992,British Nationals,Shaman David,de Grey Aubrey,22,24,27,f5d6c3d3c4b3d2d1c6b6d7e8d8c8b5a6a4b4c2c1b2f4a5a1c5e2e1e3c7f1g4f6e6e7g6b8f2f3f7g3g2a3b7h7a2g1h6b1h8h1h2h3g5g8f8g7a8a7h5h4
1992,British Nationals,Selby Matthew,Lysons John,20,24,32,f5f6e6f4g6c6g5d6c5e7f7h5f8d8c7e8g3g8f3d3g4e3c4c3f2d7c8b8e2b5b3h4h3h2h7d2e1c1a6a4b6d1f1b4c2g1g7a5g2a7a3a2b2h1b7a8b1a1h6h8
1992,British Nationals,Selby Matthew,Leader Imre,19,24,19,f5f6e6f4g6c5g4g5f3e3c4g3c6f7h4d6h5h6f8e7e8h3d7c7g7b5b4d8a5h8h7g8e2f2g1b6g2c3d3c2d2c1c8a3a4a6b3d1e1b8b7a8a7b2b1f1h1h2a1a2
1992,British Nationals,Selby Matthew,Brewer Phil,35,24,38,f5d6c5f4e3c6d3f6e6d7g3c4b4b3b6c3d2c2g5g6f3e1f7a4e7a6c8d8e8b5a5f2f1h3d1e2g4h6c7f8g8a7h4h5c1h2a8g2h1g1a3b8b7b2a1b1h7h8a2g7
